GSL_ID,NAME,SUB_NAME,ADDR,CITY,STATE,ZIP,TYPE_CNTRL,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,FLAG_1,FLAG_2,CONG_DIST,REGION
009713,ALASKA JUNIOR COLLEGE,,"800 E DIMOND BLVD, STE 3-350",ANCHORAGE,AK,99515,2 yr/Prop,92,        99,       296,  33.4,,91,        47,       178,  26.4,,90,        18,       114,  15.8,,,,00,10
023266,ALASKA COMPUTER INSTITUTE,,"701 E TUDOR RD, STE 101",ANCHORAGE,AK,99503,1 yr/Prop,92,        96,       382,  25.1,,91,       316,       791,  39.9,,90,       360,       910,  39.6,,,,AL,10
001061,ALASKA PACIFIC UNIVERSITY,,4101 UNIVERSITY DR,ANCHORAGE,AK,99508,5 yr/Priv,92,        13,        57,  22.8,,91,        10,        50,  20.0,,90,        12,        59,  20.3,,,,00,10
025769,CHARTER COLLEGE,,2221 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508,600 hr/Prop,92,        35,       177,  19.8,,91,        23,       142,  16.2,,90,        34,       144,  23.6,,,,00,10
023500,COMPUTER SKILLS TRAINING,,8050 OLD SEWARD HWY,ANCHORAGE,AK,99518,600 hr/Prop,92,         6,        35,  17.1,,91,         3,        17,   5.5,*,90,         2,        21,   4.1,*,,,00,10
011462,"UNIVERSITY OF ALASKA, ANCHORAGE",,3211 PROVIDENCE DR,ANCHORAGE,AK,99508,5 yr/Pub,92,        39,       272,  14.3,,91,        20,       211,   9.5,,90,        23,       173,  13.3,,,,AL,10
001063,"UNIVERSITY OF ALASKA, FAIRBANKS",,***,FAIRBANKS,AK,99775,5 yr/Pub,92,        28,       241,  11.6,,91,        21,       268,   7.8,,90,        14,       180,   7.8,,,,AL,10
025410,TRAVEL ACADEMY (THE),,1415 E TUDOR RD,ANCHORAGE,AK,99507,300 hr/Prop,92,         4,        40,  10.0,,91,         5,        58,   8.6,,90,        12,        78,  15.4,,,,AL,10
001065,UNIVERSITY OF ALASKA SOUTHEAST,,11120 GLACIER HWY,JUNEAU,AK,99801,5 yr/Pub,92,         3,        25,   9.8,*,91,         0,        16,   8.3,*,90,         2,        10,  19.1,*,,,AL,10
001062,SHELDON JACKSON COLLEGE,,801 LINCOLN ST,SITKA,AK,99835,4 yr/Priv,92,         4,        60,   6.7,,91,         4,        48,   8.3,,90,         7,        35,  20.0,,,,AL,10
025833,NEW CONCEPTS BEAUTY SCHOOL,,1019 COLLEGE RD,FAIRBANKS,AK,99701,600 hr/Prop,92,         0,         3,   0.0,*,91,         0,         4,   0.0,*,90,         0,         0,   0.0,,,,AL,10
